,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,8.5,5,0,43,5
1,0,0.0,8.5,5,0,43,4
2,0,0.0,8.5,5,0,43,4
3,0,0.0,8.5,5,0,43,5
4,0,0.0,8.5,5,0,43,6
5,0,0.0,8.5,5,0,43,5
6,0,0.0,5.9,3,0,45,4
7,0,0.0,8.5,5,0,43,5
8,0,0.0,8.5,5,0,43,6
9,0,0.0,5.9,3,0,45,4
10,0,0.0,8.5,5,0,43,4
11,0,0.0,8.5,5,0,43,5
12,0,0.0,8.5,5,0,43,5
13,0,0.0,8.5,5,0,43,4
14,0,0.0,8.5,5,0,43,4
15,0,0.0,8.5,5,0,43,4
16,0,0.0,5.9,3,0,45,4
17,0,0.0,8.5,5,0,43,5
18,0,0.0,5.9,3,0,45,4
19,0,0.0,8.5,5,0,43,5
20,0,0.0,8.5,5,0,43,4
21,0,0.0,8.5,5,0,43,5
22,0,0.0,8.5,5,0,43,4
23,0,0.0,8.5,5,0,43,5
24,0,0.0,8.5,5,0,43,6
25,0,0.0,8.5,5,0,43,4
26,0,0.0,8.5,5,0,43,4
27,0,0.0,8.5,5,0,43,4
28,0,0.0,8.5,5,0,43,5
29,0,0.0,8.5,5,0,43,4
30,0,0.0,8.5,5,0,43,5
31,0,0.0,8.5,5,0,43,6
32,0,0.0,8.5,5,0,43,4
33,0,0.0,8.5,5,0,43,5
34,0,0.0,8.5,5,0,43,4
35,0,0.0,7.2,4,0,44,5
36,0,0.0,8.5,5,0,43,5
37,0,0.0,8.5,5,0,43,4
38,0,0.0,8.5,5,0,43,4
39,0,0.0,8.5,5,0,43,4
40,0,0.0,8.5,5,0,43,4
41,0,0.0,8.5,5,0,43,6
42,0,0.0,8.5,5,0,43,4
43,0,0.0,8.5,5,0,43,5
44,0,0.0,8.5,5,0,43,4
45,0,0.0,5.9,3,0,45,4
46,0,0.0,8.5,5,0,43,5
47,0,0.0,8.5,5,0,43,4
48,0,0.0,8.5,5,0,43,5
49,0,0.0,5.9,3,0,45,4
50,0,0.0,8.5,5,0,43,5
51,0,0.0,8.5,5,0,43,4
52,0,0.0,5.9,3,0,45,4
53,0,0.0,5.9,3,0,45,4
54,0,0.0,8.5,5,0,43,4
55,0,0.0,8.5,5,0,43,4
56,0,0.0,5.9,3,0,45,4
57,0,0.0,8.5,5,0,43,4
58,0,0.0,8.5,5,0,43,4
59,0,0.0,5.9,3,0,45,5
60,0,0.0,8.5,5,0,43,6
61,0,0.0,8.5,5,0,43,5
62,0,0.0,5.9,3,0,45,4
63,0,0.0,8.5,5,0,43,4
64,0,0.0,5.9,3,0,45,4
65,0,0.0,8.5,5,0,43,4
66,0,0.0,8.5,5,0,43,4
67,0,0.0,8.5,5,0,43,4
68,0,0.0,8.5,5,0,43,4
69,0,0.0,8.5,5,0,43,5
70,0,0.0,8.5,5,0,43,4
71,0,0.0,8.5,5,0,43,4
72,0,0.0,8.5,5,0,43,4
73,0,0.0,8.5,5,0,43,4
74,0,0.0,8.5,5,0,43,5
75,0,0.0,8.5,5,0,43,4
76,0,0.0,8.5,5,0,43,5
77,0,0.0,8.5,5,0,43,4
78,0,0.0,8.5,5,0,43,5
79,0,0.0,8.5,5,0,43,4
80,0,0.0,5.9,3,0,45,4
81,0,0.0,8.5,5,0,43,5
82,0,0.0,8.5,5,0,43,4
83,0,0.0,8.5,5,0,43,4
84,0,0.0,8.5,5,0,43,4
85,0,0.0,8.5,5,0,43,5
86,0,0.0,8.5,5,0,43,5
87,0,0.0,8.5,5,0,43,5
88,0,0.0,8.5,5,0,43,5
89,0,0.0,8.5,5,0,43,4
90,0,0.0,8.5,5,0,43,4
91,0,0.0,8.5,5,0,43,5
92,0,0.0,8.5,5,0,43,5
93,0,0.0,5.9,3,0,45,5
94,0,0.0,8.5,5,0,43,4
95,0,0.0,5.9,3,0,45,4
96,0,0.0,8.5,5,0,43,5
97,0,0.0,5.9,3,0,45,4
98,0,0.0,8.5,5,0,43,5
99,0,0.0,8.5,5,0,43,5
