,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,6.0,3,0,45,4
1,0,0.0,8.666666666666666,5,0,43,5
2,0,0.0,8.666666666666666,5,0,43,5
3,0,0.0,8.666666666666666,5,0,43,5
4,0,0.0,6.0,3,0,45,4
5,0,0.0,8.666666666666666,5,0,43,4
6,0,0.0,6.0,3,0,45,4
7,0,0.0,8.666666666666666,5,0,43,4
8,0,0.0,8.666666666666666,5,0,43,4
9,0,0.0,8.666666666666666,5,0,43,4
10,6,0.12,8.666666666666666,5,3,42,4
11,0,0.0,8.666666666666666,5,0,43,4
12,0,0.0,8.666666666666666,5,0,43,4
13,0,0.0,8.666666666666666,5,0,43,4
14,0,0.0,8.666666666666666,5,0,43,5
15,0,0.0,8.666666666666666,5,0,43,4
16,0,0.0,6.0,3,0,45,4
17,0,0.0,8.666666666666666,5,0,43,5
18,6,0.12,8.666666666666666,5,3,42,4
19,0,0.0,8.666666666666666,5,0,43,5
20,0,0.0,8.666666666666666,5,0,43,4
21,0,0.0,6.0,3,0,45,4
22,0,0.0,8.666666666666666,5,0,43,4
23,0,0.0,6.0,3,0,45,4
24,0,0.0,8.666666666666666,5,0,43,4
25,0,0.0,8.666666666666666,5,0,43,4
26,0,0.0,8.666666666666666,5,0,43,5
27,0,0.0,8.666666666666666,5,0,43,4
28,6,0.12,8.666666666666666,5,3,42,4
29,0,0.0,8.666666666666666,5,0,43,5
30,0,0.0,3.333333333333333,1,0,47,4
31,0,0.0,8.666666666666666,5,0,43,4
32,0,0.0,8.666666666666666,5,0,43,5
33,0,0.0,6.0,3,0,45,4
34,0,0.0,8.666666666666666,5,0,43,4
35,0,0.0,8.666666666666666,5,0,43,4
36,0,0.0,8.666666666666666,5,0,43,4
37,0,0.0,8.666666666666666,5,0,43,4
38,0,0.0,8.666666666666666,5,0,43,4
39,0,0.0,6.0,3,0,45,4
40,0,0.0,8.666666666666666,5,0,43,4
41,0,0.0,8.666666666666666,5,0,43,5
42,0,0.0,8.666666666666666,5,0,43,5
43,0,0.0,8.666666666666666,5,0,43,4
44,0,0.0,8.666666666666666,5,0,43,5
45,0,0.0,8.666666666666666,5,0,43,4
46,0,0.0,8.666666666666666,5,0,43,5
47,0,0.0,8.666666666666666,5,0,43,4
48,0,0.0,8.666666666666666,5,0,43,5
49,0,0.0,8.666666666666666,5,0,43,4
50,0,0.0,8.666666666666666,5,0,43,5
51,0,0.0,8.666666666666666,5,0,43,4
52,0,0.0,6.0,3,0,45,4
53,0,0.0,6.0,3,0,45,5
54,0,0.0,8.666666666666666,5,0,43,4
55,0,0.0,8.666666666666666,5,0,43,5
56,0,0.0,8.666666666666666,5,0,43,4
57,0,0.0,8.666666666666666,5,0,43,5
58,0,0.0,8.666666666666666,5,0,43,5
59,0,0.0,6.0,3,0,45,4
60,0,0.0,8.666666666666666,5,0,43,4
61,0,0.0,8.666666666666666,5,0,43,5
62,0,0.0,8.666666666666666,5,0,43,4
63,0,0.0,8.666666666666666,5,0,43,4
64,0,0.0,8.666666666666666,5,0,43,5
65,0,0.0,6.0,3,0,45,4
66,0,0.0,8.666666666666666,5,0,43,4
67,0,0.0,8.666666666666666,5,0,43,5
68,0,0.0,7.333333333333333,4,0,44,5
69,0,0.0,8.666666666666666,5,0,43,4
70,0,0.0,8.666666666666666,5,0,43,4
71,0,0.0,8.666666666666666,5,0,43,4
72,0,0.0,8.666666666666666,5,0,43,5
73,0,0.0,8.666666666666666,5,0,43,4
74,0,0.0,8.666666666666666,5,0,43,4
75,0,0.0,8.666666666666666,5,0,43,5
76,0,0.0,8.666666666666666,5,0,43,5
77,0,0.0,8.666666666666666,5,0,43,4
78,0,0.0,6.0,3,0,45,4
79,0,0.0,8.666666666666666,5,0,43,4
80,0,0.0,8.666666666666666,5,0,43,4
81,0,0.0,8.666666666666666,5,0,43,5
82,0,0.0,8.666666666666666,5,0,43,4
83,0,0.0,8.666666666666666,5,0,43,5
84,0,0.0,8.666666666666666,5,0,43,5
85,0,0.0,8.666666666666666,5,0,43,4
86,0,0.0,8.666666666666666,5,0,43,4
87,0,0.0,8.666666666666666,5,0,43,5
88,0,0.0,8.666666666666666,5,0,43,4
89,0,0.0,8.666666666666666,5,0,43,5
90,0,0.0,8.666666666666666,5,0,43,5
91,0,0.0,6.0,3,0,45,4
92,0,0.0,8.666666666666666,5,0,43,4
93,0,0.0,8.666666666666666,5,0,43,5
94,0,0.0,8.666666666666666,5,0,43,5
95,0,0.0,8.666666666666666,5,0,43,4
96,0,0.0,8.666666666666666,5,0,43,4
97,0,0.0,8.666666666666666,5,0,43,5
98,0,0.0,6.0,3,0,45,4
99,0,0.0,8.666666666666666,5,0,43,4
