,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,7.833333333333334,5,0,43,4
1,0,0.0,7.833333333333334,5,0,43,4
2,0,0.0,7.833333333333334,5,0,43,5
3,0,0.0,7.833333333333334,5,0,43,5
4,0,0.0,5.5,3,0,45,4
5,0,0.0,7.833333333333334,5,0,43,4
6,0,0.0,5.5,3,0,45,4
7,0,0.0,7.833333333333334,5,0,43,4
8,0,0.0,7.833333333333334,5,0,43,4
9,0,0.0,7.833333333333334,5,0,43,4
10,0,0.0,7.833333333333334,5,0,43,5
11,0,0.0,7.833333333333334,5,0,43,4
12,0,0.0,7.833333333333334,5,0,43,5
13,0,0.0,7.833333333333334,5,0,43,5
14,0,0.0,7.833333333333334,5,0,43,5
15,0,0.0,7.833333333333334,5,0,43,5
16,0,0.0,7.833333333333334,5,0,43,5
17,0,0.0,3.166666666666667,1,0,47,4
18,0,0.0,7.833333333333334,5,0,43,5
19,0,0.0,5.5,3,0,45,4
20,0,0.0,7.833333333333334,5,0,43,5
21,0,0.0,7.833333333333334,5,0,43,5
22,0,0.0,7.833333333333334,5,0,43,5
23,0,0.0,7.833333333333334,5,0,43,5
24,0,0.0,7.833333333333334,5,0,43,5
25,0,0.0,5.5,3,0,45,4
26,0,0.0,7.833333333333334,5,0,43,5
27,0,0.0,5.5,3,0,45,4
28,0,0.0,3.166666666666667,1,0,47,4
29,0,0.0,5.5,3,0,45,5
30,0,0.0,7.833333333333334,5,0,43,4
31,0,0.0,7.833333333333334,5,0,43,4
32,0,0.0,7.833333333333334,5,0,43,4
33,0,0.0,7.833333333333334,5,0,43,4
34,0,0.0,7.833333333333334,5,0,43,4
35,0,0.0,5.5,3,0,45,4
36,0,0.0,7.833333333333334,5,0,43,4
37,0,0.0,5.5,3,0,45,4
38,0,0.0,7.833333333333334,5,0,43,4
39,0,0.0,7.833333333333334,5,0,43,5
40,0,0.0,7.833333333333334,5,0,43,5
41,0,0.0,7.833333333333334,5,0,43,4
42,0,0.0,7.833333333333334,5,0,43,5
43,0,0.0,7.833333333333334,5,0,43,4
44,0,0.0,7.833333333333334,5,0,43,4
45,0,0.0,7.833333333333334,5,0,43,5
46,0,0.0,7.833333333333334,5,0,43,4
47,0,0.0,7.833333333333334,5,0,43,5
48,0,0.0,7.833333333333334,5,0,43,5
49,0,0.0,7.833333333333334,5,0,43,5
50,0,0.0,7.833333333333334,5,0,43,4
51,0,0.0,7.833333333333334,5,0,43,5
52,0,0.0,7.833333333333334,5,0,43,6
53,0,0.0,7.833333333333334,5,0,43,4
54,0,0.0,7.833333333333334,5,0,43,4
55,0,0.0,7.833333333333334,5,0,43,6
56,0,0.0,5.5,3,0,45,4
57,0,0.0,7.833333333333334,5,0,43,4
58,0,0.0,7.833333333333334,5,0,43,5
59,0,0.0,7.833333333333334,5,0,43,4
60,0,0.0,7.833333333333334,5,0,43,4
61,0,0.0,7.833333333333334,5,0,43,5
62,0,0.0,7.833333333333334,5,0,43,4
63,0,0.0,7.833333333333334,5,0,43,4
64,0,0.0,7.833333333333334,5,0,43,5
65,0,0.0,7.833333333333334,5,0,43,4
66,0,0.0,5.5,3,0,45,4
67,0,0.0,7.833333333333334,5,0,43,4
68,0,0.0,7.833333333333334,5,0,43,4
69,0,0.0,5.5,3,0,45,4
70,0,0.0,7.833333333333334,5,0,43,5
71,0,0.0,7.833333333333334,5,0,43,4
72,0,0.0,7.833333333333334,5,0,43,4
73,0,0.0,7.833333333333334,5,0,43,5
74,0,0.0,5.5,3,0,45,5
75,0,0.0,7.833333333333334,5,0,43,4
76,0,0.0,7.833333333333334,5,0,43,4
77,0,0.0,7.833333333333334,5,0,43,4
78,0,0.0,5.5,3,0,45,4
79,0,0.0,7.833333333333334,5,0,43,4
80,0,0.0,7.833333333333334,5,0,43,4
81,0,0.0,5.5,3,0,45,4
82,0,0.0,7.833333333333334,5,0,43,4
83,0,0.0,7.833333333333334,5,0,43,4
84,0,0.0,7.833333333333334,5,0,43,5
85,0,0.0,5.5,3,0,45,4
86,0,0.0,3.166666666666667,1,0,47,4
87,0,0.0,7.833333333333334,5,0,43,4
88,0,0.0,7.833333333333334,5,0,43,4
89,0,0.0,7.833333333333334,5,0,43,4
90,0,0.0,7.833333333333334,5,0,43,5
91,0,0.0,5.5,3,0,45,4
92,0,0.0,7.833333333333334,5,0,43,4
93,0,0.0,7.833333333333334,5,0,43,4
94,0,0.0,7.833333333333334,5,0,43,4
95,0,0.0,7.833333333333334,5,0,43,5
96,0,0.0,5.5,3,0,45,4
97,0,0.0,7.833333333333334,5,0,43,5
98,0,0.0,7.833333333333334,5,0,43,5
99,0,0.0,7.833333333333334,5,0,43,4
